Kind,Name,PercentLackOfCohesion,PercentLackOfCohesionModified
Public Abstract Generic Class,"org.apache.commons.collections4.AbstractArrayListTest",0,0
TypeVariable,"org.apache.commons.collections4.AbstractArrayListTest.E",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.AbstractLinkedListTest",0,0
TypeVariable,"org.apache.commons.collections4.AbstractLinkedListTest.T",0,0
Public Abstract Class,"org.apache.commons.collections4.AbstractObjectTest",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.AbstractTreeMapTest",0,0
TypeVariable,"org.apache.commons.collections4.AbstractTreeMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.AbstractTreeMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.ArrayStack",0,0
TypeVariable,"org.apache.commons.collections4.ArrayStack.E",0,0
Public Generic Class,"org.apache.commons.collections4.ArrayStackTest",0,0
TypeVariable,"org.apache.commons.collections4.ArrayStackTest.E",0,0
Class,"org.apache.commons.collections4.ArrayUtils",0,0
TypeVariable,"org.apache.commons.collections4.ArrayUtils.indexOf.T",0,0
Public Generic Interface,"org.apache.commons.collections4.Bag",0,0
TypeVariable,"org.apache.commons.collections4.Bag.E",0,0
Public Class,"org.apache.commons.collections4.BagUtils",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.collectionBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.emptyBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.emptySortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.predicatedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.predicatedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.synchronizedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.synchronizedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.transformingBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.transformingSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.unmodifiableBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.unmodifiableSortedBag.E",0,0
Public Class,"org.apache.commons.collections4.BagUtilsTest",75,75
Public Generic Interface,"org.apache.commons.collections4.BidiMap",0,0
TypeVariable,"org.apache.commons.collections4.BidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.BidiMap.V",0,0
Public Generic Interface,"org.apache.commons.collections4.BoundedCollection",0,0
TypeVariable,"org.apache.commons.collections4.BoundedCollection.E",0,0
Public Generic Interface,"org.apache.commons.collections4.BoundedMap",0,0
TypeVariable,"org.apache.commons.collections4.BoundedMap.K",0,0
TypeVariable,"org.apache.commons.collections4.BoundedMap.V",0,0
Public Class,"org.apache.commons.collections4.BulkTest",60,60
Class,"org.apache.commons.collections4.BulkTestSuiteMaker",75,68
TypeVariable,"org.apache.commons.collections4.BulkTestSuiteMaker.getTestCaseConstructor.T",0,0
TypeVariable,"org.apache.commons.collections4.BulkTestSuiteMaker.makeFirstTestCase.T",0,0
TypeVariable,"org.apache.commons.collections4.BulkTestSuiteMaker.makeTestCase.T",0,0
Public Generic Interface,"org.apache.commons.collections4.Closure",0,0
TypeVariable,"org.apache.commons.collections4.Closure.T",0,0
Public Class,"org.apache.commons.collections4.ClosureUtils",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.asClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.chainedClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.chainedClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.doWhileClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.exceptionClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.forClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.ifClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.ifClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.invokerClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.invokerClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.nopClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.switchClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.switchClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.switchClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.switchMapClosure.E",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtils.whileClosure.E",0,0
Public Class,"org.apache.commons.collections4.ClosureUtilsTest",0,0
Static Generic Class,"org.apache.commons.collections4.ClosureUtilsTest.MockClosure",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtilsTest.MockClosure.T",0,0
Static Generic Class,"org.apache.commons.collections4.ClosureUtilsTest.MockTransformer",0,0
TypeVariable,"org.apache.commons.collections4.ClosureUtilsTest.MockTransformer.T",0,0
Public Class,"org.apache.commons.collections4.CollectionUtils",0,0
Private Static Generic Class,"org.apache.commons.collections4.CollectionUtils.CardinalityHelper",66,33
TypeVariable,"org.apache.commons.collections4.CollectionUtils.CardinalityHelper.O",0,0
Private Static Generic Class,"org.apache.commons.collections4.CollectionUtils.EquatorWrapper",12,12
TypeVariable,"org.apache.commons.collections4.CollectionUtils.EquatorWrapper.O",0,0
Private Static Generic Class,"org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper",37,37
TypeVariable,"org.apache.commons.collections4.CollectionUtils.SetOperationCardinalityHelper.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.addAll.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.addAll.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.addAll.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.addAll.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.addIgnoreNull.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.cardinality.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collate.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collate.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collate.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collate.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.I",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.I",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.I",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.I",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.R",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.collect.R",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.containsAny.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.countMatches.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.disjunction.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.emptyCollection.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.emptyIfNull.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.exists.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.extractSingleton.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.filter.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.filterInverse.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.find.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllButLastDo.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllButLastDo.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllButLastDo.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllButLastDo.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllDo.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllDo.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllDo.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.forAllDo.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.get.K",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.get.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.get.T",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.get.V",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.getCardinalityMap.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.hashCode.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.intersection.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.isEqualCollection.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.matchesAll.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.permutations.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.predicatedCollection.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.removeAll.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.removeAll.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.removeCount.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.removeRange.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.retainAll.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.retainAll.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.select.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.select.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.select.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.select.R",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.select.R",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.selectRejected.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.selectRejected.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.selectRejected.R",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.subtract.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.subtract.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.synchronizedCollection.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.transform.C",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.transformingCollection.E",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.union.O",0,0
TypeVariable,"org.apache.commons.collections4.CollectionUtils.unmodifiableCollection.C",0,0
Public Class,"org.apache.commons.collections4.CollectionUtilsTest",96,96
TypeVariable,"org.apache.commons.collections4.CollectionUtilsTest.next.T",0,0
Anonymous Class,"org.apache.commons.collections4.CollectionUtilsTest.testHashCode.(Anon_1)",0,0
Anonymous Class,"org.apache.commons.collections4.CollectionUtilsTest.testHashCodeNullCollection.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionEquator.(Anon_3)",0,0
Anonymous Class,"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionNullColl1.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.collections4.CollectionUtilsTest.testIsEqualCollectionNullColl2.(Anon_5)",0,0
Anonymous Class,"org.apache.commons.collections4.CollectionUtilsTest.testRemoveAllWithEquator.(Anon_6)",0,0
Anonymous Class,"org.apache.commons.collections4.CollectionUtilsTest.testRetainAllWithEquator.(Anon_7)",0,0
Public Class,"org.apache.commons.collections4.ComparatorUtils",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.chainedComparator.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.chainedComparator.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.max.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.min.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.naturalComparator.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.nullHighComparator.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.nullLowComparator.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.reversedComparator.E",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.transformedComparator.I",0,0
TypeVariable,"org.apache.commons.collections4.ComparatorUtils.transformedComparator.O",0,0
Public Class,"org.apache.commons.collections4.ComparatorUtilsTest",0,0
Public Class,"org.apache.commons.collections4.EnumerationUtils",0,0
TypeVariable,"org.apache.commons.collections4.EnumerationUtils.asIterable.T",0,0
TypeVariable,"org.apache.commons.collections4.EnumerationUtils.get.T",0,0
TypeVariable,"org.apache.commons.collections4.EnumerationUtils.toList.E",0,0
Public Class,"org.apache.commons.collections4.EnumerationUtilsTest",0,0
Public Generic Interface,"org.apache.commons.collections4.Equator",0,0
TypeVariable,"org.apache.commons.collections4.Equator.T",0,0
Public Generic Interface,"org.apache.commons.collections4.Factory",0,0
TypeVariable,"org.apache.commons.collections4.Factory.T",0,0
Public Class,"org.apache.commons.collections4.FactoryUtils",0,0
TypeVariable,"org.apache.commons.collections4.FactoryUtils.constantFactory.T",0,0
TypeVariable,"org.apache.commons.collections4.FactoryUtils.exceptionFactory.T",0,0
TypeVariable,"org.apache.commons.collections4.FactoryUtils.instantiateFactory.T",0,0
TypeVariable,"org.apache.commons.collections4.FactoryUtils.instantiateFactory.T",0,0
TypeVariable,"org.apache.commons.collections4.FactoryUtils.nullFactory.T",0,0
TypeVariable,"org.apache.commons.collections4.FactoryUtils.prototypeFactory.T",0,0
Public Class,"org.apache.commons.collections4.FactoryUtilsTest",0,0
Public Static Class,"org.apache.commons.collections4.FactoryUtilsTest.Mock1",25,25
Public Static Class,"org.apache.commons.collections4.FactoryUtilsTest.Mock2",33,33
Public Static Class,"org.apache.commons.collections4.FactoryUtilsTest.Mock3",25,25
Public Generic Class,"org.apache.commons.collections4.FluentIterable",23,8
TypeVariable,"org.apache.commons.collections4.FluentIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.FluentIterable.empty.T",0,0
TypeVariable,"org.apache.commons.collections4.FluentIterable.of.T",0,0
TypeVariable,"org.apache.commons.collections4.FluentIterable.of.T",0,0
TypeVariable,"org.apache.commons.collections4.FluentIterable.of.T",0,0
TypeVariable,"org.apache.commons.collections4.FluentIterable.transform.O",0,0
Public Class,"org.apache.commons.collections4.FluentIterableTest",67,67
Public Class,"org.apache.commons.collections4.FunctorException",0,0
Public Generic Interface,"org.apache.commons.collections4.Get",0,0
TypeVariable,"org.apache.commons.collections4.Get.K",0,0
TypeVariable,"org.apache.commons.collections4.Get.V",0,0
Public Generic Interface,"org.apache.commons.collections4.IterableGet",0,0
TypeVariable,"org.apache.commons.collections4.IterableGet.K",0,0
TypeVariable,"org.apache.commons.collections4.IterableGet.V",0,0
Public Generic Interface,"org.apache.commons.collections4.IterableMap",0,0
TypeVariable,"org.apache.commons.collections4.IterableMap.K",0,0
TypeVariable,"org.apache.commons.collections4.IterableMap.V",0,0
Public Generic Interface,"org.apache.commons.collections4.IterableSortedMap",0,0
TypeVariable,"org.apache.commons.collections4.IterableSortedMap.K",0,0
TypeVariable,"org.apache.commons.collections4.IterableSortedMap.V",0,0
Public Class,"org.apache.commons.collections4.IterableUtils",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.(Anon_1)",0,0
Private Static Generic Class,"org.apache.commons.collections4.IterableUtils.UnmodifiableIterable",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.UnmodifiableIterable.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.boundedIterable.(Anon_7)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.boundedIterable.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.chainedIterable.(Anon_2)",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.chainedIterable.(Anon_2).iterator.(Anon_3)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.chainedIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.chainedIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.chainedIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.chainedIterable.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.collatedIterable.(Anon_4)",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.collatedIterable.(Anon_5)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.collatedIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.collatedIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.contains.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.contains.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.countMatches.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.emptyIfNull.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.emptyIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.emptyIteratorIfNull.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.filteredIterable.(Anon_6)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.filteredIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.find.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.first.T",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.forEach.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.forEachButLast.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.frequency.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.frequency.T",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.get.T",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.indexOf.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.loopingIterable.(Anon_8)",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.loopingIterable.(Anon_8).iterator.(Anon_9)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.loopingIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.matchesAll.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.matchesAny.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.partition.O",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.partition.O",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.partition.O",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.partition.R",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.reversedIterable.(Anon_10)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.reversedIterable.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.skippingIterable.(Anon_11)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.skippingIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.toList.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.toString.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.toString.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.toString.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.transformedIterable.(Anon_12)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.transformedIterable.I",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.transformedIterable.O",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.uniqueIterable.(Anon_13)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.uniqueIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.unmodifiableIterable.E",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.zippingIterable.(Anon_14)",0,0
Anonymous Class,"org.apache.commons.collections4.IterableUtils.zippingIterable.(Anon_15)",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.zippingIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IterableUtils.zippingIterable.E",0,0
Public Class,"org.apache.commons.collections4.IterableUtilsTest",81,81
Anonymous Class,"org.apache.commons.collections4.IterableUtilsTest.containsWithEquator.(Anon_1)",0,0
Public Class,"org.apache.commons.collections4.IteratorUtils",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.arrayListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.asEnumeration.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.asIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.asIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.asIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.asMultipleUseIterable.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.boundedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.boundedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.chainedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.chainedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.chainedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.collatedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.collatedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.collatedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.contains.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.emptyIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.emptyListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.emptyMapIterator.K",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.emptyMapIterator.V",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.emptyOrderedIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.emptyOrderedMapIterator.K",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.emptyOrderedMapIterator.V",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.filteredIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.filteredListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.find.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.first.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.forEach.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.forEachButLast.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.get.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.indexOf.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.loopingIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.loopingListIterator.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.matchesAll.E",0,0
TypeVariable,"org.apache.commons.collections4.IteratorUtils.matchesAny.E",0,0
