Kind,Name,MaxNesting,SumCyclomatic,AvgCyclomatic,MaxCyclomatic
File,"AbstractAnyAllOnePredicateTest.java",0,4,1,1
File,"AbstractArrayListTest.java",0,4,1,1
File,"AbstractAvailableLocalesTest.java",3,7,1,4
File,"AbstractBagDecorator.java",0,9,1,1
File,"AbstractBagTest.java",3,74,1,6
File,"AbstractBidiMapDecorator.java",0,7,1,1
File,"AbstractBidiMapTest.java",2,68,1,5
File,"AbstractBitwiseTrie.java",1,30,1,4
File,"AbstractBloomFilter.java",2,24,1,4
File,"AbstractBloomFilterTest.java",1,53,1,2
File,"AbstractClosureTest.java",0,1,1,1
File,"AbstractCollectionDecorator.java",0,19,1,1
File,"AbstractCollectionTest.java",3,147,1,9
File,"AbstractComparatorTest.java",3,15,1,4
File,"AbstractCompositePredicateTest.java",1,15,1,2
File,"AbstractDualBidiMap.java",2,97,1,5
File,"AbstractEmptyIterator.java",0,11,1,1
File,"AbstractEmptyMapIterator.java",0,4,1,1
File,"AbstractHashFunctionTest.java",0,1,1,1
File,"AbstractHashedMap.java",4,169,1,9
File,"AbstractInputCheckedMapDecorator.java",1,18,1,5
File,"AbstractIterableGetMapDecorator.java",1,17,1,2
File,"AbstractIterableMap.java",0,1,1,1
File,"AbstractIterableMapTest.java",1,29,1,3
File,"AbstractIteratorDecorator.java",0,2,1,1
File,"AbstractIteratorTest.java",2,18,1,4
File,"AbstractKeyValue.java",0,6,1,1
File,"AbstractLinkedList.java",2,141,1,7
File,"AbstractLinkedListTest.java",2,21,1,3
File,"AbstractLinkedListTest.java",1,19,1,2
File,"AbstractLinkedMap.java",3,76,1,6
File,"AbstractListDecorator.java",0,15,1,1
File,"AbstractListIteratorDecorator.java",0,11,1,1
File,"AbstractListIteratorTest.java",1,30,1,3
File,"AbstractListTest.java",2,163,1,7
File,"AbstractListValuedMap.java",2,39,1,3
File,"AbstractMapBag.java",2,76,2,6
File,"AbstractMapDecorator.java",1,19,1,2
File,"AbstractMapEntry.java",1,10,2,5
File,"AbstractMapEntryDecorator.java",1,9,1,2
File,"AbstractMapEntryTest.java",0,8,1,1
File,"AbstractMapIteratorDecorator.java",0,8,1,1
File,"AbstractMapIteratorTest.java",2,34,1,4
File,"AbstractMapMultiSet.java",2,70,1,6
File,"AbstractMapTest.java",4,228,1,11
File,"AbstractMockPredicateTest.java",1,7,1,2
File,"AbstractMultiSet.java",2,66,1,6
File,"AbstractMultiSetDecorator.java",0,11,1,1
File,"AbstractMultiSetTest.java",3,76,1,6
File,"AbstractMultiValuedMap.java",2,135,1,3
File,"AbstractMultiValuedMapDecorator.java",1,25,1,2
File,"AbstractMultiValuedMapTest.java",2,159,1,4
File,"AbstractNavigableSetDecorator.java",0,14,1,1
File,"AbstractNavigableSetTest.java",1,40,1,4
File,"AbstractNullComparatorTest.java",0,12,1,1
File,"AbstractObjectTest.java",2,33,1,3
File,"AbstractOrderedBidiMapDecorator.java",0,8,1,1
File,"AbstractOrderedBidiMapDecoratorTest.java",1,10,1,2
File,"AbstractOrderedBidiMapTest.java",2,30,1,5
File,"AbstractOrderedMapDecorator.java",0,8,1,1
File,"AbstractOrderedMapIteratorDecorator.java",0,10,1,1
File,"AbstractOrderedMapIteratorTest.java",2,14,2,6
File,"AbstractOrderedMapTest.java",2,33,1,6
File,"AbstractPatriciaTrie.java",3,362,2,15
File,"AbstractPredicateTest.java",0,4,1,1
File,"AbstractPropertiesFactory.java",1,17,1,3
File,"AbstractPropertiesFactoryTest.java",1,14,1,1
File,"AbstractQuantifierPredicate.java",0,2,1,1
File,"AbstractQueueDecorator.java",0,8,1,1
File,"AbstractQueueTest.java",2,39,1,5
File,"AbstractReferenceMap.java",3,125,1,5
File,"AbstractSerializableListDecorator.java",0,3,1,1
File,"AbstractSerializableSetDecorator.java",0,3,1,1
File,"AbstractSetDecorator.java",0,5,1,1
File,"AbstractSetTest.java",1,11,1,2
File,"AbstractSetValuedMap.java",1,11,1,3
File,"AbstractSortedBagDecorator.java",0,6,1,1
File,"AbstractSortedBagTest.java",2,15,1,4
File,"AbstractSortedBidiMapDecorator.java",0,8,1,1
File,"AbstractSortedBidiMapTest.java",1,29,1,2
File,"AbstractSortedMapDecorator.java",0,18,1,2
File,"AbstractSortedMapTest.java",1,53,1,2
File,"AbstractSortedSetDecorator.java",0,9,1,1
File,"AbstractSortedSetTest.java",2,36,1,4
File,"AbstractTreeMapTest.java",0,4,1,1
File,"AbstractUntypedIteratorDecorator.java",0,4,1,1
File,"AllPredicate.java",2,10,2,3
File,"AllPredicateTest.java",0,9,1,1
File,"AndPredicate.java",0,4,1,1
File,"AnyPredicate.java",2,10,2,3
File,"ArrayCountingBloomFilter.java",3,41,1,4
File,"ArrayCountingBloomFilterTest.java",2,45,1,3
File,"ArrayIterator.java",1,15,1,3
File,"ArrayIterator2Test.java",1,24,1,4
File,"ArrayIteratorTest.java",1,9,1,2
File,"ArrayListIterator.java",1,14,1,2
File,"ArrayListIterator2Test.java",0,6,1,1
File,"ArrayListIteratorTest.java",1,12,1,4
File,"ArrayListValuedHashMap.java",1,10,1,2
File,"ArrayListValuedHashMapTest.java",1,15,1,2
File,"ArrayStack.java",2,13,1,3
File,"ArrayStackTest.java",0,9,1,1
File,"ArrayUtils.java",3,11,2,8
File,"Bag.java",0,0,0,0
File,"BagUtils.java",0,12,1,1
File,"BagUtilsTest.java",0,28,1,1
File,"BidiMap.java",0,0,0,0
File,"BitSetBloomFilter.java",2,16,1,3
File,"BitSetBloomFilterTest.java",0,2,1,1
File,"BloomFilter.java",0,0,0,0
File,"BloomFilterIndexer.java",1,5,1,2
File,"BloomFilterIndexerTest.java",1,9,1,2
File,"BooleanComparator.java",0,13,1,3
File,"BooleanComparatorTest.java",1,23,1,2
File,"BoundedCollection.java",0,0,0,0
File,"BoundedIterator.java",1,13,2,3
File,"BoundedIteratorTest.java",0,32,1,1
File,"BoundedMap.java",0,0,0,0
File,"BulkTest.java",2,45,2,6
File,"CaseInsensitiveMap.java",2,10,1,3
File,"CaseInsensitiveMapTest.java",3,12,1,3
File,"CatchAndRethrowClosure.java",1,3,3,3
File,"CatchAndRethrowClosureTest.java",0,13,1,1
File,"ChainedClosure.java",1,11,1,3
File,"ChainedTransformer.java",1,10,1,2
File,"CircularFifoQueue.java",3,49,2,6
File,"CircularFifoQueueTest.java",1,39,1,3
File,"CloneTransformer.java",1,4,1,2
File,"Closure.java",0,0,0,0
File,"ClosureTransformer.java",0,4,1,1
File,"ClosureUtils.java",1,18,1,2
File,"ClosureUtilsTest.java",1,48,1,2
File,"CollatingIterator.java",4,41,1,6
File,"CollatingIteratorTest.java",2,26,2,3
File,"CollectionBag.java",3,19,1,4
File,"CollectionBagTest.java",1,9,1,2
