Kind,Name,CountClassCoupled,CountClassCoupledModified
Public Abstract Generic Class,"org.apache.commons.collections4.AbstractArrayListTest",5,5
TypeVariable,"org.apache.commons.collections4.AbstractArrayListTest.E",0,0
Public Abstract Generic Class,"org.apache.commons.collections4.AbstractLinkedListTest",8,8
TypeVariable,"org.apache.commons.collections4.AbstractLinkedListTest.T",0,0
Public Abstract Class,"org.apache.commons.collections4.AbstractObjectTest",16,16
Public Abstract Generic Class,"org.apache.commons.collections4.AbstractTreeMapTest",5,5
TypeVariable,"org.apache.commons.collections4.AbstractTreeMapTest.K",0,0
TypeVariable,"org.apache.commons.collections4.AbstractTreeMapTest.V",0,0
Public Generic Class,"org.apache.commons.collections4.ArrayStack",1,1
TypeVariable,"org.apache.commons.collections4.ArrayStack.E",0,0
Public Generic Class,"org.apache.commons.collections4.ArrayStackTest",7,7
TypeVariable,"org.apache.commons.collections4.ArrayStackTest.E",0,0
Class,"org.apache.commons.collections4.ArrayUtils",1,1
TypeVariable,"org.apache.commons.collections4.ArrayUtils.indexOf.T",0,0
Public Generic Interface,"org.apache.commons.collections4.Bag",3,3
TypeVariable,"org.apache.commons.collections4.Bag.E",0,0
Public Class,"org.apache.commons.collections4.BagUtils",16,16
TypeVariable,"org.apache.commons.collections4.BagUtils.collectionBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.emptyBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.emptySortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.predicatedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.predicatedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.synchronizedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.synchronizedSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.transformingBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.transformingSortedBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.unmodifiableBag.E",0,0
TypeVariable,"org.apache.commons.collections4.BagUtils.unmodifiableSortedBag.E",0,0
Public Class,"org.apache.commons.collections4.BagUtilsTest",18,18
Public Generic Interface,"org.apache.commons.collections4.BidiMap",2,2
TypeVariable,"org.apache.commons.collections4.BidiMap.K",0,0
TypeVariable,"org.apache.commons.collections4.BidiMap.V",0,0
Public Generic Interface,"org.apache.commons.collections4.BoundedCollection",0,0
TypeVariable,"org.apache.commons.collections4.BoundedCollection.E",0,0
